time_s,heart_rate_bpm,spo2_pct,resp_rate_bpm,body_temp_c,accel_g,fall_detected,alert_spo2_low,alert_hr_abnormal,alert_resp_abnormal,alert_fever,alert_fall
0.0,74.7,98.1,15.7,36.76,0.88,False,False,False,False,False,False
1.0,77.1,97.7,16.5,36.7,0.95,False,False,False,False,False,False
2.0,74.2,97.4,14.6,36.8,1.02,False,False,False,False,False,False
3.0,75.3,97.8,15.5,36.72,0.97,False,False,False,False,False,False
4.0,73.3,96.5,16.0,36.81,1.01,False,False,False,False,False,False
5.0,75.5,97.0,16.4,37.0,0.96,False,False,False,False,False,False
6.0,75.9,96.4,15.1,36.65,0.98,False,False,False,False,False,False
7.0,72.1,96.8,17.7,36.72,0.88,False,False,False,False,False,False
8.0,76.9,97.2,16.5,36.87,0.99,False,False,False,False,False,False
9.0,74.0,96.9,15.8,36.62,1.02,False,False,False,False,False,False
10.0,76.4,97.2,16.0,36.74,4.14,True,False,False,False,False,True
11.0,74.1,96.9,16.5,36.76,0.99,False,False,False,False,False,False
12.0,74.9,96.1,15.4,36.72,0.99,False,False,False,False,False,False
13.0,74.3,96.7,16.3,36.66,0.98,False,False,False,False,False,False
14.0,73.1,96.4,16.6,36.83,0.97,False,False,False,False,False,False
15.0,74.9,96.0,15.6,36.92,0.99,False,False,False,False,False,False
16.0,75.9,96.6,17.2,36.66,0.97,False,False,False,False,False,False
17.0,74.0,96.8,16.9,36.51,0.99,False,False,False,False,False,False
18.0,73.6,96.8,15.4,36.89,0.97,False,False,False,False,False,False
19.0,75.4,97.3,15.0,36.99,0.96,False,False,False,False,False,False
20.0,75.4,96.6,15.6,36.8,0.98,False,False,False,False,False,False
21.0,74.4,96.8,16.1,36.9,0.97,False,False,False,False,False,False
22.0,72.2,97.1,15.7,36.75,1.0,False,False,False,False,False,False
23.0,71.1,95.9,16.7,36.72,0.98,False,False,False,False,False,False
24.0,68.8,96.7,16.6,36.75,0.97,False,False,False,False,False,False
25.0,68.5,96.3,15.9,36.87,0.99,False,False,False,False,False,False
26.0,68.7,96.5,16.7,36.72,0.98,False,False,False,False,False,False
27.0,66.7,96.1,15.9,36.9,0.98,False,False,False,False,False,False
28.0,64.2,95.8,14.3,36.78,0.98,False,False,False,False,False,False
