time_s,heart_rate_bpm,spo2_pct,resp_rate_bpm,body_temp_c,accel_g,fall_detected,alert_spo2_low,alert_hr_abnormal,alert_resp_abnormal,alert_fever,alert_fall
0.0,73.0,96.5,15.5,36.86,0.97,False,False,False,False,False,False
1.0,74.2,97.4,16.5,36.78,0.96,False,False,False,False,False,False
2.0,76.3,97.4,15.2,36.75,0.97,False,False,False,False,False,False
3.0,77.3,96.8,16.3,36.76,1.0,False,False,False,False,False,False
4.0,74.4,97.0,15.7,36.71,0.94,False,False,False,False,False,False
5.0,76.0,97.2,15.6,36.75,0.97,False,False,False,False,False,False
6.0,74.7,97.7,16.0,36.74,0.99,False,False,False,False,False,False
7.0,71.3,98.1,14.7,36.71,1.0,False,False,False,False,False,False
8.0,74.2,96.7,16.1,36.76,1.02,False,False,False,False,False,False
9.0,75.5,97.1,16.7,36.94,0.94,False,False,False,False,False,False
10.0,73.0,97.3,16.7,36.87,1.04,False,False,False,False,False,False
11.0,74.8,96.7,15.4,36.78,1.0,False,False,False,False,False,False
12.0,74.6,96.4,15.5,36.85,1.02,False,False,False,False,False,False
13.0,76.5,96.9,16.6,36.8,1.0,False,False,False,False,False,False
14.0,75.4,96.5,16.4,36.8,1.02,False,False,False,False,False,False
15.0,71.7,96.8,16.1,36.64,1.01,False,False,False,False,False,False
16.0,76.5,97.4,16.8,36.91,0.96,False,False,False,False,False,False
17.0,77.0,97.4,14.4,36.9,0.99,False,False,False,False,False,False
18.0,74.9,97.2,15.8,36.84,0.94,False,False,False,False,False,False
19.0,77.6,96.7,15.5,36.74,1.02,False,False,False,False,False,False
20.0,73.6,96.7,14.7,36.75,0.97,False,False,False,False,False,False
21.0,76.4,97.1,17.3,36.88,1.05,False,False,False,False,False,False
22.0,76.1,95.5,16.3,36.8,0.95,False,False,False,False,False,False
23.0,77.0,95.4,17.0,36.75,0.94,False,False,False,False,False,False
24.0,75.7,96.4,16.6,36.93,1.03,False,False,False,False,False,False
25.0,76.7,94.5,18.2,36.69,1.02,False,False,False,False,False,False
26.0,75.9,94.7,18.4,36.88,0.99,False,False,False,False,False,False
27.0,79.8,94.6,18.4,36.78,0.97,False,False,False,False,False,False
28.0,77.6,93.6,20.2,37.04,1.07,False,False,False,False,False,False
29.0,79.3,93.2,18.7,36.73,0.98,False,False,False,False,False,False
30.0,80.9,92.6,20.7,36.86,1.0,False,False,False,False,False,False
31.0,81.3,92.1,19.8,36.75,1.07,False,False,False,False,False,False
32.0,80.0,92.3,19.2,36.84,0.91,False,False,False,False,False,False
33.0,82.2,91.7,20.6,36.62,0.95,False,False,False,False,False,False
34.0,81.9,91.0,21.2,36.8,0.91,False,False,False,False,False,False
35.0,82.8,92.0,20.9,36.8,1.02,False,False,False,False,False,False
36.0,81.7,90.7,21.5,36.79,0.94,False,False,False,False,False,False
37.0,82.4,89.5,21.3,36.71,0.97,False,True,False,False,False,False
38.0,86.2,90.2,21.5,36.68,0.98,False,False,False,False,False,False
39.0,83.9,89.2,23.7,36.84,0.95,False,True,False,False,False,False
40.0,82.9,89.1,23.6,37.01,1.07,False,True,False,False,False,False
41.0,84.1,88.8,23.8,36.79,1.04,False,True,False,False,False,False
42.0,84.1,88.7,23.1,36.68,1.02,False,True,False,False,False,False
43.0,88.1,88.3,24.2,36.92,0.97,False,True,False,True,False,False
44.0,88.1,87.4,25.0,36.78,1.05,False,True,False,True,False,False
45.0,86.2,86.5,25.8,36.75,0.94,False,True,False,True,False,False
46.0,87.9,86.3,24.6,36.75,1.01,False,True,False,True,False,False
47.0,88.8,86.8,26.2,36.85,0.96,False,True,False,True,False,False
48.0,86.3,85.6,25.2,36.85,0.99,False,True,False,True,False,False
49.0,89.5,86.1,26.6,36.79,1.02,False,True,False,True,False,False
50.0,89.5,85.2,26.9,36.88,1.06,False,True,False,True,False,False
51.0,90.5,84.3,26.0,36.68,1.06,False,True,False,True,False,False
52.0,92.0,85.1,27.8,36.9,0.91,False,True,False,True,False,False
53.0,90.8,84.3,23.2,36.72,0.99,False,True,False,False,False,False
54.0,89.4,85.1,26.4,36.92,1.04,False,True,False,True,False,False
55.0,89.6,84.3,24.8,36.88,1.06,False,True,False,True,False,False
56.0,90.9,85.5,26.2,36.8,0.86,False,True,False,True,False,False
57.0,90.2,85.5,26.2,36.79,0.93,False,True,False,True,False,False
58.0,87.3,85.1,26.2,36.97,0.93,False,True,False,True,False,False
59.0,88.0,84.9,26.0,36.82,1.06,False,True,False,True,False,False
60.0,89.5,85.3,26.3,36.86,1.02,False,True,False,True,False,False
61.0,90.5,85.8,25.8,36.76,0.97,False,True,False,True,False,False
62.0,90.6,85.5,25.9,36.71,1.04,False,True,False,True,False,False
63.0,89.0,85.3,25.2,36.89,1.02,False,True,False,True,False,False
64.0,89.9,85.4,25.9,36.94,1.01,False,True,False,True,False,False
65.0,90.1,84.6,26.5,36.91,0.96,False,True,False,True,False,False
66.0,91.5,85.3,26.7,36.88,0.96,False,True,False,True,False,False
67.0,89.4,85.7,23.7,36.68,0.98,False,True,False,False,False,False
68.0,90.6,84.5,26.5,36.87,1.02,False,True,False,True,False,False
69.0,89.0,85.4,26.1,36.85,1.0,False,True,False,True,False,False
70.0,88.6,85.3,27.2,36.84,0.93,False,True,False,True,False,False
71.0,92.2,85.4,25.2,36.7,0.87,False,True,False,True,False,False
72.0,89.8,85.6,27.2,36.7,1.03,False,True,False,True,False,False
73.0,91.0,85.2,26.9,36.88,1.04,False,True,False,True,False,False
74.0,90.1,84.9,26.9,36.76,0.96,False,True,False,True,False,False
75.0,88.5,85.5,25.9,36.81,0.95,False,True,False,True,False,False
76.0,93.0,84.5,26.3,36.87,0.94,False,True,False,True,False,False
77.0,88.7,84.7,26.3,36.65,1.03,False,True,False,True,False,False
78.0,87.2,85.7,26.5,36.69,0.98,False,True,False,True,False,False
79.0,90.2,84.7,25.2,36.82,1.03,False,True,False,True,False,False
80.0,89.2,86.1,25.6,36.9,1.11,False,True,False,True,False,False
81.0,90.7,84.9,26.2,36.63,1.06,False,True,False,True,False,False
82.0,88.6,84.4,25.0,36.82,1.0,False,True,False,True,False,False
83.0,90.7,84.5,27.6,36.93,1.0,False,True,False,True,False,False
84.0,89.9,85.7,25.0,36.89,0.92,False,True,False,True,False,False
85.0,90.9,84.3,26.2,36.76,1.07,False,True,False,True,False,False
86.0,92.5,84.3,25.5,36.73,1.06,False,True,False,True,False,False
87.0,90.9,86.2,25.8,36.7,1.03,False,True,False,True,False,False
88.0,90.2,85.1,25.8,36.73,1.08,False,True,False,True,False,False
89.0,92.5,85.5,25.3,36.78,0.95,False,True,False,True,False,False
90.0,90.8,85.0,26.2,36.78,1.01,False,True,False,True,False,False
91.0,91.0,84.6,26.5,36.67,1.01,False,True,False,True,False,False
92.0,90.0,85.0,25.1,36.62,1.01,False,True,False,True,False,False
93.0,90.3,84.5,26.4,36.8,1.03,False,True,False,True,False,False
94.0,89.6,83.9,25.9,36.93,1.05,False,True,False,True,False,False
95.0,88.0,84.8,25.6,36.87,0.95,False,True,False,True,False,False
96.0,89.1,84.6,26.5,36.78,1.07,False,True,False,True,False,False
97.0,91.5,85.2,26.6,37.11,1.08,False,True,False,True,False,False
98.0,89.4,84.6,27.6,36.89,0.96,False,True,False,True,False,False
99.0,91.4,84.9,25.2,36.75,1.07,False,True,False,True,False,False
100.0,87.9,85.2,24.9,36.6,0.93,False,True,False,True,False,False
101.0,90.8,84.9,25.3,36.83,0.94,False,True,False,True,False,False
102.0,89.5,84.5,26.7,36.84,0.96,False,True,False,True,False,False
103.0,90.5,85.2,27.3,36.75,1.03,False,True,False,True,False,False
104.0,89.3,85.0,26.4,36.84,1.0,False,True,False,True,False,False
105.0,90.7,85.1,27.4,36.74,0.94,False,True,False,True,False,False
106.0,89.2,84.2,26.2,36.8,1.02,False,True,False,True,False,False
107.0,91.2,84.8,26.4,36.94,0.98,False,True,False,True,False,False
108.0,90.0,84.7,28.3,36.94,1.0,False,True,False,True,False,False
109.0,90.5,85.8,25.3,36.76,1.03,False,True,False,True,False,False
110.0,90.3,85.0,26.3,36.72,1.06,False,True,False,True,False,False
111.0,91.8,84.2,24.7,36.75,1.03,False,True,False,True,False,False
112.0,88.0,84.1,25.3,36.91,0.94,False,True,False,True,False,False
113.0,92.8,84.9,26.5,36.77,1.0,False,True,False,True,False,False
114.0,87.9,84.8,25.8,36.81,0.98,False,True,False,True,False,False
115.0,87.2,84.8,24.5,36.8,1.01,False,True,False,True,False,False
116.0,90.4,85.0,24.2,36.74,0.93,False,True,False,True,False,False
117.0,92.3,85.2,26.0,36.66,0.95,False,True,False,True,False,False
118.0,90.0,86.1,27.6,36.86,0.91,False,True,False,True,False,False
119.0,91.3,84.1,25.1,36.63,1.01,False,True,False,True,False,False
