time_s,heart_rate_bpm,spo2_pct,resp_rate_bpm,body_temp_c,accel_g,fall_detected,alert_spo2_low,alert_hr_abnormal,alert_resp_abnormal,alert_fever,alert_fall
0.0,77.4,97.3,16.2,36.85,0.94,False,False,False,False,False,False
1.0,75.7,97.0,16.0,36.66,0.95,False,False,False,False,False,False
2.0,75.9,95.9,15.7,36.7,0.99,False,False,False,False,False,False
3.0,75.9,97.6,16.1,36.76,0.98,False,False,False,False,False,False
4.0,76.9,97.0,15.0,36.74,1.06,False,False,False,False,False,False
5.0,71.2,96.5,15.7,36.71,1.08,False,False,False,False,False,False
6.0,75.7,97.7,16.8,36.87,1.11,False,False,False,False,False,False
7.0,74.7,96.7,16.0,36.8,1.01,False,False,False,False,False,False
8.0,73.8,96.8,16.5,36.84,0.93,False,False,False,False,False,False
9.0,75.4,98.0,14.5,36.9,1.0,False,False,False,False,False,False
10.0,72.6,97.1,15.4,36.69,0.96,False,False,False,False,False,False
11.0,71.7,96.6,16.0,36.79,1.04,False,False,False,False,False,False
12.0,76.2,97.2,15.6,36.7,0.97,False,False,False,False,False,False
13.0,76.7,97.3,15.3,36.88,1.07,False,False,False,False,False,False
14.0,75.3,97.6,17.5,36.69,1.06,False,False,False,False,False,False
15.0,74.9,97.7,16.7,36.84,0.95,False,False,False,False,False,False
16.0,75.9,96.2,16.8,36.8,1.09,False,False,False,False,False,False
17.0,74.4,98.3,16.3,36.56,1.01,False,False,False,False,False,False
18.0,76.8,97.0,15.7,36.66,1.03,False,False,False,False,False,False
19.0,75.1,97.3,16.0,36.94,0.97,False,False,False,False,False,False
20.0,73.9,96.2,16.9,36.72,0.93,False,False,False,False,False,False
21.0,77.6,96.3,14.3,36.78,1.07,False,False,False,False,False,False
22.0,77.5,98.0,16.7,36.83,0.94,False,False,False,False,False,False
23.0,78.5,97.1,16.4,36.91,1.08,False,False,False,False,False,False
24.0,78.8,97.6,16.3,37.22,1.0,False,False,False,False,False,False
25.0,74.7,97.3,17.5,37.12,1.01,False,False,False,False,False,False
26.0,78.6,97.0,18.3,37.35,1.01,False,False,False,False,False,False
27.0,82.1,97.5,17.7,37.34,1.03,False,False,False,False,False,False
28.0,81.1,96.6,17.3,37.46,1.03,False,False,False,False,False,False
29.0,84.3,97.4,17.2,37.66,0.98,False,False,False,False,False,False
30.0,82.4,97.5,18.0,37.79,0.9,False,False,False,False,False,False
31.0,82.2,96.7,18.7,37.6,0.99,False,False,False,False,False,False
32.0,83.0,98.0,18.0,37.93,1.07,False,False,False,False,False,False
33.0,82.3,97.5,18.7,37.8,0.99,False,False,False,False,False,False
34.0,83.0,98.5,19.1,37.9,1.05,False,False,False,False,False,False
35.0,86.8,97.6,18.0,38.09,0.94,False,False,False,False,True,False
36.0,83.3,96.8,18.4,37.98,1.0,False,False,False,False,False,False
37.0,85.6,97.4,18.5,38.13,1.01,False,False,False,False,True,False
38.0,85.0,97.8,18.7,38.11,1.02,False,False,False,False,True,False
39.0,88.0,96.3,18.3,38.39,0.98,False,False,False,False,True,False
40.0,86.7,98.1,20.8,38.35,0.97,False,False,False,False,True,False
41.0,86.6,96.8,20.5,38.54,1.02,False,False,False,False,True,False
42.0,91.0,97.0,21.8,38.49,0.98,False,False,False,False,True,False
43.0,90.5,96.4,19.8,38.61,1.11,False,False,False,False,True,False
44.0,90.6,97.2,20.1,38.62,0.99,False,False,False,False,True,False
45.0,90.4,97.2,20.5,38.97,0.97,False,False,False,False,True,False
46.0,94.5,96.4,21.3,39.06,1.06,False,False,False,False,True,False
47.0,90.9,96.4,21.3,39.08,0.96,False,False,False,False,True,False
48.0,91.5,96.6,22.9,38.89,0.97,False,False,False,False,True,False
49.0,93.3,97.1,21.0,39.04,1.03,False,False,False,False,True,False
50.0,94.3,97.2,20.8,39.17,1.03,False,False,False,False,True,False
51.0,90.3,96.5,21.8,39.18,1.02,False,False,False,False,True,False
52.0,96.3,96.6,22.3,39.0,0.98,False,False,False,False,True,False
53.0,94.8,98.3,21.9,39.28,0.91,False,False,False,False,True,False
54.0,95.1,96.4,21.0,39.25,1.03,False,False,False,False,True,False
55.0,94.8,96.4,21.3,39.19,1.01,False,False,False,False,True,False
56.0,92.5,96.6,22.4,39.2,1.03,False,False,False,False,True,False
57.0,94.2,96.7,22.8,39.3,1.01,False,False,False,False,True,False
58.0,95.6,97.0,21.5,39.22,0.95,False,False,False,False,True,False
59.0,94.0,97.2,22.4,39.12,1.03,False,False,False,False,True,False
60.0,95.6,97.3,23.9,39.21,0.98,False,False,False,False,True,False
61.0,95.9,96.3,23.0,39.2,1.04,False,False,False,False,True,False
62.0,96.3,97.1,22.6,39.24,1.05,False,False,False,False,True,False
63.0,92.6,96.7,21.4,39.05,1.02,False,False,False,False,True,False
64.0,95.2,97.0,21.1,39.24,1.0,False,False,False,False,True,False
65.0,94.6,97.6,20.3,39.2,0.99,False,False,False,False,True,False
66.0,92.0,97.4,21.8,39.06,0.97,False,False,False,False,True,False
67.0,94.4,97.1,21.5,39.17,1.04,False,False,False,False,True,False
68.0,94.4,97.2,21.1,39.46,1.03,False,False,False,False,True,False
69.0,95.1,97.3,22.3,39.35,1.01,False,False,False,False,True,False
70.0,94.3,97.1,21.5,39.28,1.03,False,False,False,False,True,False
71.0,96.5,96.6,22.5,39.19,1.0,False,False,False,False,True,False
72.0,94.8,96.7,21.7,39.15,1.05,False,False,False,False,True,False
73.0,94.0,97.1,22.5,39.1,1.04,False,False,False,False,True,False
74.0,93.8,97.6,23.4,39.18,1.0,False,False,False,False,True,False
75.0,92.9,96.6,22.3,39.1,1.01,False,False,False,False,True,False
76.0,92.1,97.2,22.9,39.11,1.0,False,False,False,False,True,False
77.0,93.7,96.9,19.8,39.26,0.95,False,False,False,False,True,False
78.0,96.0,97.1,20.9,39.17,1.0,False,False,False,False,True,False
79.0,95.0,97.7,21.8,39.07,0.95,False,False,False,False,True,False
80.0,94.9,97.0,21.3,39.16,1.05,False,False,False,False,True,False
81.0,93.3,96.3,22.4,39.07,0.96,False,False,False,False,True,False
82.0,97.3,96.3,20.8,39.13,0.98,False,False,False,False,True,False
83.0,96.6,98.0,21.7,39.24,1.03,False,False,False,False,True,False
84.0,94.1,97.0,22.2,39.31,1.06,False,False,False,False,True,False
85.0,94.6,97.6,21.2,38.99,1.05,False,False,False,False,True,False
86.0,95.7,97.8,22.4,39.34,0.99,False,False,False,False,True,False
87.0,90.3,97.0,23.4,39.34,0.96,False,False,False,False,True,False
88.0,97.3,96.6,22.7,39.16,1.02,False,False,False,False,True,False
89.0,94.0,97.5,21.7,39.32,0.98,False,False,False,False,True,False
90.0,97.8,96.7,22.4,39.07,1.02,False,False,False,False,True,False
91.0,95.0,96.9,21.9,39.23,1.04,False,False,False,False,True,False
92.0,96.0,97.2,21.8,39.26,1.05,False,False,False,False,True,False
93.0,96.3,96.1,21.3,39.28,1.02,False,False,False,False,True,False
94.0,92.0,96.8,22.1,39.33,0.99,False,False,False,False,True,False
95.0,97.4,96.0,22.2,39.34,0.94,False,False,False,False,True,False
96.0,94.2,97.0,23.4,39.09,0.94,False,False,False,False,True,False
97.0,93.3,96.9,22.5,39.03,0.99,False,False,False,False,True,False
98.0,96.4,97.5,22.6,39.27,1.04,False,False,False,False,True,False
99.0,94.2,97.2,21.7,39.29,1.06,False,False,False,False,True,False
100.0,94.4,96.2,20.9,39.04,0.88,False,False,False,False,True,False
101.0,93.9,97.4,22.8,39.21,1.04,False,False,False,False,True,False
102.0,95.6,97.6,21.5,39.08,1.04,False,False,False,False,True,False
103.0,96.3,96.6,21.8,39.15,1.01,False,False,False,False,True,False
104.0,94.5,96.3,21.6,39.06,1.04,False,False,False,False,True,False
105.0,96.1,97.1,22.2,39.17,1.01,False,False,False,False,True,False
106.0,94.4,96.9,21.1,39.26,0.97,False,False,False,False,True,False
