time_s,heart_rate_bpm,spo2_pct,resp_rate_bpm,body_temp_c,accel_g,fall_detected,alert_spo2_low,alert_hr_abnormal,alert_resp_abnormal,alert_fever,alert_fall
0.0,72.4,96.2,15.9,36.8,0.98,False,False,False,False,False,False
1.0,75.5,98.0,17.0,36.9,0.94,False,False,False,False,False,False
2.0,76.7,96.3,15.5,36.79,0.99,False,False,False,False,False,False
3.0,74.6,96.5,15.8,36.78,1.03,False,False,False,False,False,False
4.0,76.5,96.9,16.9,36.88,1.0,False,False,False,False,False,False
5.0,75.8,96.3,16.9,36.91,1.02,False,False,False,False,False,False
6.0,75.3,97.5,16.6,36.76,0.99,False,False,False,False,False,False
7.0,73.4,97.0,15.0,36.85,1.05,False,False,False,False,False,False
8.0,74.7,97.4,17.2,36.59,1.05,False,False,False,False,False,False
9.0,75.4,97.4,15.9,36.83,0.93,False,False,False,False,False,False
10.0,74.3,96.3,15.7,36.67,1.05,False,False,False,False,False,False
11.0,75.7,96.4,16.4,36.89,1.04,False,False,False,False,False,False
12.0,74.1,97.6,17.2,36.61,1.05,False,False,False,False,False,False
13.0,76.2,97.5,16.2,36.8,1.02,False,False,False,False,False,False
14.0,76.0,96.4,16.0,36.68,0.94,False,False,False,False,False,False
15.0,74.8,96.9,16.7,36.82,1.04,False,False,False,False,False,False
16.0,74.2,96.2,17.8,36.74,0.99,False,False,False,False,False,False
17.0,76.5,97.1,15.2,37.07,1.02,False,False,False,False,False,False
18.0,74.3,97.4,16.1,36.81,0.89,False,False,False,False,False,False
19.0,73.3,97.2,18.0,36.69,1.04,False,False,False,False,False,False
20.0,77.4,96.3,16.3,36.86,1.04,False,False,False,False,False,False
21.0,77.8,96.3,14.8,36.69,1.11,False,False,False,False,False,False
22.0,75.6,96.6,17.7,36.65,1.06,False,False,False,False,False,False
23.0,75.2,95.6,16.6,36.83,0.99,False,False,False,False,False,False
24.0,77.3,96.4,16.3,36.6,1.08,False,False,False,False,False,False
25.0,78.9,94.8,18.2,36.82,0.93,False,False,False,False,False,False
26.0,79.1,94.3,17.8,36.78,1.19,False,False,False,False,False,False
27.0,80.5,94.6,18.0,36.92,1.15,False,False,False,False,False,False
28.0,78.5,93.9,18.2,36.76,1.04,False,False,False,False,False,False
29.0,79.6,93.2,19.7,36.87,0.96,False,False,False,False,False,False
30.0,80.3,94.1,19.4,36.78,1.01,False,False,False,False,False,False
31.0,78.3,92.5,20.9,36.79,1.04,False,False,False,False,False,False
32.0,79.9,92.4,20.3,36.77,1.02,False,False,False,False,False,False
33.0,82.7,91.9,19.9,36.79,1.04,False,False,False,False,False,False
34.0,83.1,91.2,21.5,36.81,1.05,False,False,False,False,False,False
35.0,81.8,90.4,21.9,36.82,0.98,False,False,False,False,False,False
36.0,84.8,91.5,19.6,36.6,1.01,False,False,False,False,False,False
37.0,81.0,89.8,22.3,36.88,1.0,False,True,False,False,False,False
38.0,82.0,90.3,21.8,36.78,1.01,False,False,False,False,False,False
39.0,82.7,89.3,22.7,36.68,1.03,False,True,False,False,False,False
40.0,84.2,89.0,23.0,36.78,0.9,False,True,False,False,False,False
41.0,84.5,88.3,25.2,36.71,1.01,False,True,False,True,False,False
42.0,86.0,88.6,24.9,36.8,1.09,False,True,False,True,False,False
43.0,85.6,87.0,24.3,36.78,0.98,False,True,False,True,False,False
44.0,88.9,88.4,23.5,36.69,0.95,False,True,False,False,False,False
45.0,84.9,86.3,23.7,36.82,0.97,False,True,False,False,False,False
46.0,86.5,86.7,24.5,36.71,1.04,False,True,False,True,False,False
47.0,89.0,86.7,25.4,36.84,0.91,False,True,False,True,False,False
48.0,86.6,84.8,25.1,36.57,1.01,False,True,False,True,False,False
49.0,91.7,85.4,25.0,36.82,0.84,False,True,False,True,False,False
50.0,88.2,85.2,27.2,36.74,1.08,False,True,False,True,False,False
51.0,89.2,84.2,25.1,36.76,1.0,False,True,False,True,False,False
52.0,88.6,85.1,26.6,36.95,1.07,False,True,False,True,False,False
53.0,88.8,84.7,25.0,36.76,0.97,False,True,False,True,False,False
54.0,90.2,84.9,26.1,36.84,1.01,False,True,False,True,False,False
55.0,90.8,86.0,25.3,36.9,1.12,False,True,False,True,False,False
56.0,88.7,85.3,26.1,36.95,0.95,False,True,False,True,False,False
57.0,91.9,85.0,25.2,36.7,1.05,False,True,False,True,False,False
58.0,89.9,84.8,24.5,36.91,0.89,False,True,False,True,False,False
59.0,88.7,84.3,26.1,36.71,0.87,False,True,False,True,False,False
60.0,88.7,84.7,25.6,36.68,1.03,False,True,False,True,False,False
61.0,90.0,84.9,26.0,36.94,1.0,False,True,False,True,False,False
62.0,90.4,85.2,28.5,36.73,0.98,False,True,False,True,False,False
63.0,90.0,84.5,28.7,36.82,1.0,False,True,False,True,False,False
64.0,87.5,85.6,27.3,36.9,0.97,False,True,False,True,False,False
65.0,88.4,84.9,26.8,36.96,1.02,False,True,False,True,False,False
66.0,90.9,84.6,27.5,36.79,1.04,False,True,False,True,False,False
67.0,91.1,84.7,25.7,36.78,1.05,False,True,False,True,False,False
68.0,91.5,85.4,26.4,36.76,1.0,False,True,False,True,False,False
69.0,87.9,85.2,25.1,36.8,1.04,False,True,False,True,False,False
70.0,87.2,85.9,26.5,36.9,1.03,False,True,False,True,False,False
71.0,90.5,85.3,26.1,36.6,1.02,False,True,False,True,False,False
72.0,89.5,85.6,26.3,36.77,0.97,False,True,False,True,False,False
73.0,89.0,86.0,27.1,36.88,0.86,False,True,False,True,False,False
74.0,93.1,84.8,27.3,36.87,0.99,False,True,False,True,False,False
75.0,89.2,85.3,25.7,36.63,0.99,False,True,False,True,False,False
76.0,91.1,84.9,26.1,36.9,0.92,False,True,False,True,False,False
77.0,88.0,85.5,27.2,36.81,1.04,False,True,False,True,False,False
78.0,90.9,84.7,25.9,36.71,1.0,False,True,False,True,False,False
79.0,88.3,85.8,26.8,36.69,0.93,False,True,False,True,False,False
80.0,91.0,85.3,26.7,36.74,1.04,False,True,False,True,False,False
81.0,91.0,84.5,26.1,36.77,1.04,False,True,False,True,False,False
82.0,87.6,85.3,24.9,36.9,1.06,False,True,False,True,False,False
83.0,91.4,84.8,26.2,36.71,0.94,False,True,False,True,False,False
84.0,91.2,85.1,27.0,36.67,1.03,False,True,False,True,False,False
85.0,90.6,85.7,25.6,36.71,0.96,False,True,False,True,False,False
86.0,90.2,85.7,25.1,36.77,0.86,False,True,False,True,False,False
87.0,90.0,84.1,26.2,36.59,0.97,False,True,False,True,False,False
88.0,89.1,85.1,26.3,36.93,0.98,False,True,False,True,False,False
89.0,88.2,84.8,25.9,36.8,1.11,False,True,False,True,False,False
90.0,87.4,85.3,25.6,36.87,1.02,False,True,False,True,False,False
