time_s,heart_rate_bpm,spo2_pct,resp_rate_bpm,body_temp_c,accel_g,fall_detected,alert_spo2_low,alert_hr_abnormal,alert_resp_abnormal,alert_fever,alert_fall
0.0,72.8,96.9,15.3,36.64,1.02,False,False,False,False,False,False
1.0,77.9,96.8,15.5,36.82,1.04,False,False,False,False,False,False
2.0,76.1,96.5,14.9,36.9,0.99,False,False,False,False,False,False
3.0,74.6,97.6,15.4,36.91,1.04,False,False,False,False,False,False
4.0,75.5,96.8,16.7,36.93,0.99,False,False,False,False,False,False
5.0,75.0,96.8,17.3,36.83,1.01,False,False,False,False,False,False
6.0,74.7,96.7,16.8,36.79,0.99,False,False,False,False,False,False
7.0,75.7,96.9,15.7,37.0,1.01,False,False,False,False,False,False
8.0,74.0,96.5,16.6,36.93,1.1,False,False,False,False,False,False
9.0,76.2,97.0,16.6,36.82,1.02,False,False,False,False,False,False
10.0,75.1,97.4,16.3,36.78,4.95,True,False,False,False,False,True
11.0,77.0,97.0,15.9,36.73,0.98,False,False,False,False,False,False
12.0,75.3,96.7,15.1,36.8,0.99,False,False,False,False,False,False
13.0,76.5,96.9,16.5,36.69,0.98,False,False,False,False,False,False
14.0,77.9,96.0,15.7,36.82,0.98,False,False,False,False,False,False
15.0,74.2,96.7,14.3,36.75,0.98,False,False,False,False,False,False
16.0,77.8,97.4,15.5,36.87,0.98,False,False,False,False,False,False
17.0,73.4,96.7,17.8,36.83,0.98,False,False,False,False,False,False
18.0,73.7,96.7,15.2,36.72,0.98,False,False,False,False,False,False
19.0,75.4,96.9,16.7,36.66,0.98,False,False,False,False,False,False
20.0,73.3,97.1,16.2,36.83,0.98,False,False,False,False,False,False
21.0,77.3,95.7,15.9,36.84,0.98,False,False,False,False,False,False
22.0,74.1,96.4,17.3,36.87,0.99,False,False,False,False,False,False
23.0,77.7,95.3,16.3,36.76,0.97,False,False,False,False,False,False
24.0,76.5,95.2,16.0,36.76,0.97,False,False,False,False,False,False
25.0,75.6,95.1,18.3,36.62,0.98,False,False,False,False,False,False
26.0,78.3,94.4,16.8,36.54,0.99,False,False,False,False,False,False
27.0,81.6,93.9,17.4,36.83,1.0,False,False,False,False,False,False
28.0,78.6,95.0,19.7,36.96,0.97,False,False,False,False,False,False
29.0,79.9,94.1,19.7,36.73,0.97,False,False,False,False,False,False
30.0,81.1,92.8,17.9,36.69,0.99,False,False,False,False,False,False
31.0,79.5,92.5,19.8,36.64,0.98,False,False,False,False,False,False
32.0,81.2,92.4,19.8,36.77,0.98,False,False,False,False,False,False
33.0,84.8,92.0,19.9,36.72,0.97,False,False,False,False,False,False
34.0,81.0,92.1,18.6,36.75,0.98,False,False,False,False,False,False
35.0,81.0,91.5,19.8,36.94,0.97,False,False,False,False,False,False
36.0,86.5,91.0,20.9,36.77,0.97,False,False,False,False,False,False
37.0,84.4,90.0,22.3,36.72,0.98,False,False,False,False,False,False
38.0,85.0,90.4,21.5,36.85,0.97,False,False,False,False,False,False
39.0,84.0,89.9,22.7,36.83,0.97,False,True,False,False,False,False
